AH102	27.9819846386955
AH11	28.3427981631813
AH13	11.2676620305843
AH14	11.3406971729185
AH18	9.01458867562147
AH21	18.3391437523181
AH22	8.19387927278378
AH25	3.95652873126542
AH26	12.5245945417694
AH28	30.2403552429216
AH29	19.3744217508271
AH40	19.1827777647726
AH44	29.9693943856634
AH61	27.8768544127151
AH64	30.0990618556343
AH65	27.0440981876821
AH68	31.964999695748
AH69	33.7862251104432
AH70	18.7699423556485
AH82	20.0603480881492
AH89	15.9319018480864
AH91	15.6997420744722
AH95	10.8788758095373
